N 	 time 
5 	0.000001 
15 	0.000002 
25 	0.000003 
35 	0.000004 
45 	0.000004 
55 	0.000005 
65 	0.000006 
75 	0.000007 
85 	0.000011 
95 	0.000008 
105 	0.000010 
115 	0.000010 
125 	0.000011 
135 	0.000012 
145 	0.000013 
155 	0.000014 
165 	0.000015 
175 	0.000015 
185 	0.000016 
195 	0.000017 
205 	0.000018 
215 	0.000019 
225 	0.000019 
235 	0.000021 
245 	0.000021 
255 	0.000022 
265 	0.000023 
275 	0.000024 
285 	0.000025 
295 	0.000026 
305 	0.000027 
315 	0.000028 
325 	0.000029 
335 	0.000111 
345 	0.000031 
355 	0.000102 
365 	0.000060 
375 	0.000028 
385 	0.000029 
395 	0.000029 
405 	0.000031 
415 	0.000031 
425 	0.000032 
435 	0.000033 
445 	0.000034 
455 	0.000035 
465 	0.000036 
475 	0.000037 
485 	0.000038 
495 	0.000038 
505 	0.000039 
515 	0.000040 
525 	0.000040 
535 	0.000041 
545 	0.000042 
555 	0.000043 
565 	0.000043 
575 	0.000044 
585 	0.000045 
595 	0.000045 
605 	0.000118 
615 	0.000048 
625 	0.000048 
635 	0.000048 
645 	0.000050 
655 	0.000051 
665 	0.000052 
675 	0.000052 
685 	0.000053 
695 	0.000054 
705 	0.000054 
715 	0.000055 
725 	0.000057 
735 	0.000056 
745 	0.000058 
755 	0.000059 
765 	0.000098 
775 	0.000094 
785 	0.000061 
795 	0.000062 
805 	0.000063 
815 	0.000064 
825 	0.000064 
835 	0.000065 
845 	0.000066 
855 	0.000067 
865 	0.000067 
875 	0.000067 
885 	0.000069 
895 	0.000069 
905 	0.000071 
915 	0.000143 
925 	0.000071 
935 	0.000073 
945 	0.000073 
955 	0.000074 
965 	0.000075 
975 	0.000076 
985 	0.000077 
995 	0.000077 
1005 	0.000078 
1015 	0.000102 
1025 	0.000052 
1035 	0.000126 
1045 	0.000053 
1055 	0.000054 
1065 	0.000055 
1075 	0.000055 
1085 	0.000055 
1095 	0.000056 
1105 	0.000057 
1115 	0.000062 
1125 	0.000058 
1135 	0.000059 
1145 	0.000060 
1155 	0.000060 
1165 	0.000060 
1175 	0.000060 
1185 	0.000061 
1195 	0.000135 
1205 	0.000062 
1215 	0.000063 
1225 	0.000063 
1235 	0.000064 
1245 	0.000064 
1255 	0.000066 
1265 	0.000065 
1275 	0.000066 
1285 	0.000067 
1295 	0.000066 
1305 	0.000067 
1315 	0.000067 
1325 	0.000143 
1335 	0.000069 
1345 	0.000070 
1355 	0.000070 
1365 	0.000071 
1375 	0.000070 
1385 	0.000072 
1395 	0.000072 
1405 	0.000073 
1415 	0.000073 
1425 	0.000073 
1435 	0.000075 
1445 	0.000075 
1455 	0.000114 
1465 	0.000111 
1475 	0.000076 
1485 	0.000077 
1495 	0.000078 
1505 	0.000078 
1515 	0.000077 
1525 	0.000079 
1535 	0.000080 
1545 	0.000080 
1555 	0.000086 
1565 	0.000120 
1575 	0.000117 
1585 	0.000082 
1595 	0.000083 
1605 	0.000085 
1615 	0.000085 
1625 	0.000085 
1635 	0.000086 
1645 	0.000086 
1655 	0.000086 
1665 	0.000087 
1675 	0.000088 
1685 	0.000161 
1695 	0.000088 
1705 	0.000090 
1715 	0.000090 
1725 	0.000090 
1735 	0.000091 
1745 	0.000091 
1755 	0.000091 
1765 	0.000092 
1775 	0.000093 
1785 	0.000169 
1795 	0.000094 
1805 	0.000093 
