N 	 time 
5 	0.000001 
15 	0.000002 
25 	0.000003 
35 	0.000003 
45 	0.000004 
55 	0.000005 
65 	0.000006 
75 	0.000007 
85 	0.000011 
95 	0.000009 
105 	0.000010 
115 	0.000010 
125 	0.000011 
135 	0.000012 
145 	0.000013 
155 	0.000013 
165 	0.000014 
175 	0.000015 
185 	0.000016 
195 	0.000017 
205 	0.000018 
215 	0.000019 
225 	0.000020 
235 	0.000020 
245 	0.000021 
255 	0.000022 
265 	0.000023 
275 	0.000024 
285 	0.000025 
295 	0.000026 
305 	0.000027 
315 	0.000028 
325 	0.000029 
335 	0.000030 
345 	0.000031 
355 	0.000031 
365 	0.000105 
375 	0.000033 
385 	0.000035 
395 	0.000036 
405 	0.000036 
415 	0.000037 
425 	0.000038 
435 	0.000039 
445 	0.000040 
455 	0.000041 
465 	0.000041 
475 	0.000043 
485 	0.000044 
495 	0.000044 
505 	0.000046 
515 	0.000047 
525 	0.000047 
535 	0.000048 
545 	0.000049 
555 	0.000051 
565 	0.000051 
575 	0.000052 
585 	0.000126 
595 	0.000054 
605 	0.000055 
615 	0.000056 
625 	0.000056 
635 	0.000084 
645 	0.000033 
655 	0.000033 
665 	0.000034 
675 	0.000034 
685 	0.000034 
695 	0.000035 
705 	0.000036 
715 	0.000036 
725 	0.000037 
735 	0.000037 
745 	0.000038 
755 	0.000038 
765 	0.000079 
775 	0.000076 
785 	0.000040 
795 	0.000040 
805 	0.000041 
815 	0.000041 
825 	0.000041 
835 	0.000042 
845 	0.000043 
855 	0.000043 
865 	0.000043 
875 	0.000044 
885 	0.000045 
895 	0.000045 
905 	0.000046 
915 	0.000046 
925 	0.000047 
935 	0.000047 
945 	0.000048 
955 	0.000048 
965 	0.000049 
975 	0.000049 
985 	0.000127 
995 	0.000051 
1005 	0.000051 
1015 	0.000052 
1025 	0.000052 
1035 	0.000052 
1045 	0.000053 
1055 	0.000054 
1065 	0.000054 
1075 	0.000054 
1085 	0.000055 
1095 	0.000055 
1105 	0.000056 
1115 	0.000060 
1125 	0.000057 
1135 	0.000057 
1145 	0.000057 
1155 	0.000059 
1165 	0.000060 
1175 	0.000060 
1185 	0.000060 
1195 	0.000060 
1205 	0.000061 
1215 	0.000062 
1225 	0.000062 
1235 	0.000063 
1245 	0.000064 
1255 	0.000064 
1265 	0.000064 
1275 	0.000065 
1285 	0.000066 
1295 	0.000066 
1305 	0.000067 
1315 	0.000067 
1325 	0.000068 
1335 	0.000068 
1345 	0.000069 
1355 	0.000075 
1365 	0.000068 
1375 	0.000070 
1385 	0.000071 
1395 	0.000071 
1405 	0.000072 
1415 	0.000073 
1425 	0.000073 
1435 	0.000074 
1445 	0.000073 
1455 	0.000074 
1465 	0.000074 
1475 	0.000075 
1485 	0.000074 
1495 	0.000077 
1505 	0.000077 
1515 	0.000077 
1525 	0.000079 
1535 	0.000079 
1545 	0.000079 
1555 	0.000080 
1565 	0.000081 
1575 	0.000081 
1585 	0.000081 
1595 	0.000082 
1605 	0.000083 
1615 	0.000084 
1625 	0.000084 
1635 	0.000084 
1645 	0.000085 
1655 	0.000084 
1665 	0.000083 
1675 	0.000082 
1685 	0.000082 
1695 	0.000083 
1705 	0.000168 
1715 	0.000086 
1725 	0.000087 
1735 	0.000087 
1745 	0.000088 
1755 	0.000089 
1765 	0.000088 
1775 	0.000273 
1785 	0.000846 
1795 	0.000092 
1805 	0.000088 
